,0,1,2,3,4,5
85,uf246,800 m² útiles,3 dormitorios,"espectacular casa i 3d 5b y servicios i locurro, lo curro, vitacura",,casa en arriendo de 3 dorm. en vitacura
86,$750.000,130 m² útiles,3 dormitorios,"cercano a duoc antonio varas, manuel montt, providencia",,
87,uf246,900 m² útiles,3 dormitorios,"gran casa y terreno / lo curro / cancha tenis / piscina temperada / embajada, vitacura",,casa en arriendo de 3 dormitorios en vitacura
88,$700.000,85 m² útiles,3 dormitorios,"josé joaquín pérez 452, plaza de armas de san bernardo, san bernardo",,
89,uf67,140 m² útiles,3 dormitorios,"cuarto centenario / hernando de magallanes, rotonda atenas, las condes",,
90,uf246,800 m² útiles,3 dormitorios,"lo curro, vitacura",,gran casa en ubicada lo curro
91,uf100,273 m² útiles,3 dormitorios,"metro escuela militar, las condes",,casa   para múltiples posibilidades de uso
92,$7.000.000,1 m² totales,3 dormitorios,"la dehesa, lo barnechea",,refugio temporada completa farellones
93,$1.500.000,147 m² útiles,3 dormitorios,"sector san anselmo, chicureo, colina",,
94,$5.000.000,302 m² útiles,3 dormitorios,"santa maría de manquehue, santa maría de manquehue, vitacura",,
95,$1.450.000,160 m² útiles,3 dormitorios,"metro ñuñoa, metro ñuñoa, ñuñoa",,
96,$6.000.000,500 m² útiles,3 dormitorios,"valle escondido, lo barnechea",,casa en arriendo de 3 dorm. en lo barnechea
97,$4.000.000,260 m² útiles,3 dormitorios,"propiedad en santa maria manquehue plano, santa maría de manquehue, vitacura",,
98,$620.000,120 m² útiles,3 dormitorios,"avenida romero / las rosas, paine",,
99,$1.100.000,100 m² útiles,3 dormitorios,"el paico/parcela 27, el monte, el monte",,casa en arriendo de 3 dorm. en el monte
100,$2.800.000,243 m² útiles,3 dormitorios,"jardin dehesa- san rafael, la dehesa, lo barnechea",,casa en arriendo de 3 dorm. en lo barnechea
101,$3.600.000,280 m² útiles,3 dormitorios,"manquehue oriente, lo barnechea",,
102,uf93,195 m² útiles,3 dormitorios,"pío xi, vitacura",,linda casa de los años 60
103,uf246,"1,274 m² útiles",3 dormitorios,"via esmeralda / gran vía, lo curro, vitacura",,
104,uf100,217 m² útiles,3 dormitorios,"pedro de valdivia norte, pedro de valdivia norte, providencia",,casa en arriendo de 3 dorm. en providencia
105,uf110,390 m² útiles,3 dormitorios,"la dehesa, lo barnechea",,"casa estilo inglés manquehue oriente, excelente conectividad"
106,$850.000,90 m² útiles,3 dormitorios,"camino a san josé de maipo 5879, las vizcachas, puente alto",,
107,uf198,487 m² útiles,3 dormitorios,"valle escondido, valle escondido, lo barnechea",,
108,$5.000.000,480 m² útiles,3 dormitorios,"exclusiva casa remodelada por completo – amoblada - sector los dominicos general blanche - camino de la fuente, los dominicos, las condes",,exclusiva casa remodelada por completo  amoblada -
109,uf135,224 m² útiles,3 dormitorios,"propiedad en jardín del este, jardín del este, vitacura",,
110,"uf136,84",518 m² útiles,3 dormitorios,"santa maría de manquehue, santa maría de manquehue, vitacura",,casa en arriendo de 3 dorm. en vitacura
111,$2.500.000,180 m² útiles,3 dormitorios,"francisco de aguirre club de polo estupenda !!, borde río - casa piedra, vitacura",,
112,uf246,960 m² útiles,3 dormitorios,"lo curro - ideal para embajada., lo curro, vitacura",,
113,uf65,122 m² útiles,3 dormitorios,"vaticano, las condes",,acogedora casa en isabel la católica en excelente estado
114,$4.900.000,547 m² útiles,3 dormitorios,"gran casa - san francisco de asis - la viña, san damián, las condes",,casa en arriendo de 3 dorm. en las condes
115,$2.035.000,344 m² útiles,3 dormitorios,"excelente, castillo velasco altura av. s, ñuñoa",,
116,$6.000.000,520 m² útiles,3 dormitorios,"mallinkrodt sector patio de comidas, providencia",,casa en arriendo de 3 dorm. en providencia
117,uf98,335 m² útiles,3 dormitorios,"santa maría de manquehue/ colegio san benito, vitacura",,casa en arriendo de 3 dorm. en vitacura
118,$5.000.000,487 m² útiles,3 dormitorios,"***condominio*** seguridad 24 hrs., valle escondido, lo barnechea",,
119,$420.000,120 m² útiles,3 dormitorios,"observatorio / los condores, la pintana",,
120,$2.500.000,180 m² útiles,3 dormitorios,"club de polo / francisco de aguirre, borde río - casa piedra, vitacura",,
