0,1,2,3,4,5,6,7
5.900,uf,"5,000 m² totales","santa ester, chicureo, colina",venta,sitios,,
6.800,uf,"5,700 m² totales","antares 11006, chicureo, colina, chile, chicureo, colina",venta,sitios,,
250.000,uf,3 ha totales,"lo espejo / autopista central, las acacias - chena, san bernardo",venta,sitios,,
66.000.000,$,350 m² totales,"las constelaciones, los molles, la ligua, chile, los molles, la ligua",venta,sitios,,
7.500,uf,"7,500 m² totales","condominio lomas de bellavista, san joaquín, la serena",venta,sitios,,
85.000,uf,3 ha totales,"chicureo poniente, chicureo, colina",venta,sitios,,
6.500,uf,"6,400 m² totales","avenida chamisero 656, chicureo, colina",venta,sitios,,
59.184,uf,"4,932 m² totales","camino punta mocha 4663, huechuraba, chile, el rosal, huechuraba",venta,sitios,,
29.450,uf,"1,170 m² totales","fariña 446, recoleta, chile, patronato, recoleta",venta,sitios,,
48.600,uf,"3,600 m² totales","av. sta. marta de huechuraba 7171, huechuraba, chile, pedro fontova, huechuraba",venta,sitios,,
9.700,uf,"2,195 m² totales","las brisas / chicureo, chicureo, colina",venta,sitios,,
13.900,uf,"1,285 m² totales","los trapenses, lo barnechea",venta,sitios,,
10.000,uf,"1,996 m² totales","las brisas / chicureo, chicureo, colina",venta,sitios,,
6.700,uf,"4,741 m² totales","chicureo centro, chicureo, colina",venta,sitios,,
1.863,uf,509 m² totales,"carlos swett - olmué, centro de olmué, olmué",venta,parcelas,,
9.990,uf,211 m² útiles,4 dormitorios,"condominio miraflores de lipangue 22, lampa, región metropolitana, chile, lampa",venta,parcelas,
1.700,uf,"5,000 m² totales","8crh+r5 san antonio, chile, san antonio",venta,parcelas,,
3.690,uf,"5,000 m² totales","lonquén sur 21900 - 22200, el oliveto, talagante",venta,parcelas,,
14.990.000,$,"5,000 m² útiles","cr42+qq chillan, chile, chillán",venta,parcelas,,
2.150,uf,"5,000 m² útiles","pucon, pucón, araucanía, chile, pucón",venta,parcelas,,
14.990.000,$,"5,000 m² útiles","j-820, vichuquén, maule, chile, vichuquén",venta,parcelas,,
5.150,uf,"5,000 m² útiles","el recurso, buin, región metropolitana, chile, el recurso, buin",venta,parcelas,,
19.000,uf,210 m² útiles,5 dormitorios,"av chicureo 1100, colina",venta,parcelas,
8.200,uf,120 m² útiles,3 dormitorios,"ruta g-562, paine, región metropolitana, chile, laguna de aculeo, paine",venta,parcelas,
26.000.000,$,"10,000 m² útiles",1 dormitorio,"2v4j+c5 santa magda, coyhaique, chile, coihaique",venta,parcelas,
24.990.000,$,"5,000 m² útiles","rrh3+j7 frutillar, chile, frutillar",venta,parcelas,,
14.990.000,$,"5,000 m² útiles","j-80, vichuquén, maule, chile, vichuquén",venta,parcelas,,
29.990.000,$,"5,000 m² útiles","san fernando, chile, san fernando",venta,parcelas,,
15.000.000,$,"5,000 m² útiles","j82m+j6 san camilo, copiapó, chile, copiapó",venta,parcelas,,
24.990.000,$,"5,000 m² útiles","v-120, paraguay, frutillar, los lagos, chile, frutillar",venta,parcelas,,
7.400,uf,150 m² útiles,4 dormitorios,"ruta g-562, paine, región metropolitana, chile, laguna de aculeo, paine",venta,parcelas,
2.450,uf,"5,000 m² útiles","santa sara, lampa, chile, batuco, lampa",venta,parcelas,,
45.000.000,$,"30,000 m² útiles","aysén, chile, río ibánez",venta,parcelas,,
24.990.000,$,"5,000 m² útiles","v-120, casma, frutillar, chile, frutillar",venta,parcelas,,
8.690,uf,140 m² útiles,2 dormitorios,"45jx+cq paine, chile, hospital - champa, paine",venta,parcelas,
34.990.000,$,"5,000 m² útiles","pichilemu, chile, localidad de pichilemu, pichilemu",venta,parcelas,,
5.000,uf,"5,000 m² totales","la fábrica pc3, puerto varas",venta,parcelas,,
75.000.000,$,"5,000 m² útiles","san manuel, melipilla, chile, melipilla",venta,parcelas,,
10.000.000,$,"6,000 m² útiles","v47h+g6 lago verde, chile, lago verde",venta,parcelas,,
22.990.000,$,"5,000 m² útiles","u-960-v, frutillar",venta,parcelas,,
11.000,uf,260 m² útiles,4 dormitorios,"condominio santa amalia  37, batuco, lampa",venta,parcelas,
5.350,uf,380 m² útiles,8 dormitorios,"j488+87 tucapel, chile, quilleco",venta,parcelas,
14.100,uf,"70,000 m² útiles","carmen bajo, melipilla, chile, melipilla",venta,parcelas,,
6.000,uf,"5,000 m² totales","camino lo ermita - lonquen norte paradero 4 - calera de tango, el copihue, calera de tango",venta,parcelas,,
631,uf,"5,000 m² útiles","vc57+fv fresia, chile, fresia",venta,parcelas,,
96.000.000,$,"50,000 m² útiles","algarrobo, chile, centro de algarrobo, algarrobo",venta,parcelas,,
135.000.000,$,"5,000 m² totales","camino carampangue con lonquen sur, isla de maipo",venta,parcelas,,
2.248,uf,"5,580 m² totales","lote 7 -10 c los quillayes de huemul, teno",venta,parcelas,,
19.000.000,$,"11,200 m² útiles","la retuca, quilpué, chile, quilpué",venta,parcelas,,
5.000.000,$,"5,000 m² útiles","sauzal, cauquenes, chile, cauquenes",venta,parcelas,,
890,uf,"64,000 m² útiles","miraflores, curacavi, curacaví, chile, centro de curacaví, curacaví",venta,parcelas,,
11.900,uf,235 m² útiles,4 dormitorios,"don mauricio, curacaví, región metropolitana, chile, curacaví",venta,parcelas,
1.810,uf,"4,750 m² útiles","qwmc+2x llanquihue, chile, llanquihue",venta,parcelas,,
45.000.000,$,"5,000 m² útiles","zapallar oriente, curicó, chile, zapallar, curicó",venta,parcelas,,
47.500,uf,"70,000 m² útiles","panguipulli, chile, lago panguipulli, panguipulli",venta,parcelas,,
10.300,uf,"3,000 m² útiles",6 dormitorios,"carmen 510, quillón, chile, quillón",venta,parcelas,
16.000,uf,640 m² útiles,9 dormitorios,"9467+9w talagante, chile, talagante",venta,parcelas,
36.990.000,$,"5,000 m² útiles","freire sn, yumbel",venta,parcelas,,
1.700,uf,"5,000 m² útiles","los lingues, san fernando, chile, san fernando",venta,parcelas,,
14.400,uf,90 m² útiles,2 dormitorios,"arturo prat 28, pisco elqui, paihuano, coquimbo, chile, paiguano",venta,parcelas,
5.200,uf,"7,000 m² útiles","condominio sol y luna 21, batuco, lampa",venta,parcelas,,
7.600,uf,950 m² totales,"av los rios 11200, colina",venta,parcelas,,
